restaurant_id,name,rating,review_count,positive_reviews_points,negative_reviews_points
rest_001,Thai Papaya,4.4,688,"friendly attentive staff, fast pickup service, good food flavor reputation, fair value pricing, large portion sizes","food quality consistency issues, delivery order accuracy issues, greasy packaging problems, rude service interactions"
rest_002,Pablo's Mexican Restaurant,4.4,1548,"strong food quality reputation, pleasant atmosphere experience, good value pricing perception, attentive allergy friendly service, consistent repeat customer loyalty","service attentiveness issues, food authenticity perception issues, value pricing concerns"
rest_003,Tacos Cinco de Mayo,4.6,196,"strong food quality reputation, authentic flavor experience, clean welcoming environment, friendly helpful staff, good value pricing perception",basic casual atmosphere
rest_004,Nonna Bella's Pizzeria,4.7,495,"strong food quality reputation, friendly attentive service, welcoming family atmosphere, reasonable value perception, owner personal engagement",
rest_005,Jolene's Thai Cuisine,4.7,297,"strong food quality reputation, friendly attentive service, owner personal engagement, good vegetarian glutenfree options, clean welcoming atmosphere","food quality consistency issues, website ordering confusion"
rest_006,El Fresco Mexican Grill,4.5,406,"friendly attentive service, fast reliable pickup speed, strong food quality reputation, clean inviting atmosphere, good value pricing perception","food quality consistency issues, menu clarity accuracy issues"
rest_008,Washington Burrito,3.6,455,"24 hour availability, strong food quality reputation, loyal repeat customers, fast drive thru service","order accuracy issues, slow service delays, food quality inconsistency, menu item availability issues"
rest_009,Oh Mmm Gyros,4.9,1321,"strong food quality reputation, fresh ingredients perception, friendly welcoming service, clean comfortable environment, good portion value perception",
rest_012,The Northern Pines Restaurant,4.4,3907,"strong food quality reputation, friendly attentive service, family friendly atmosphere, welcoming pet friendly policy, cozy inviting environment","long wait times, high pricing perception"
rest_013,Royal Spice,4.8,378,"strong food quality reputation, friendly attentive service, pleasant dining atmosphere, clear menu explanations, authentic cuisine experience","slow food preparation time, inconsistent dessert quality"
rest_014,Seahouse Fish & Chicken - Fried Chicken Takeaway,4.6,355,"strong food quality reputation, freshness and temperature consistency, helpful friendly service, good value perception, quick pickup resolution","seasoning preference inconsistency, limited dine in experience, sauce flavor dissatisfaction, missing condiment availability"
