call_id,situation,cluster_id,situation_name
call_001,The prospect expressed uncertainty and lack of interest by saying they don't know and indicating they are busy cooking with no time to talk.,3,Prospect unavailable or uncertain about timing
call_001,"The prospect stated they already use DoorDash, Grubhub, and Uber Eats and expressed that they don't think they need anything else.",4,Already satisfied or not ready for new online ordering solutions
call_002,"The prospect clarified they would use a desktop without a camera, which could signal a potential technical limitation or hesitation about participation.",1,Low prospect engagement or interest
call_002,"The prospect indicated flexibility between two possible demo times (10:30 or 2:00), creating a scheduling decision point that could affect whether the demo gets confirmed.",8,Scheduling or demo confirmation challenges
call_003,El prospecto informa que la persona encargada no se encuentra y no sabe a qué hora llegará.,3,Prospect unavailable or uncertain about timing
call_003,El prospecto muestra confusión sobre el nombre de la empresa ('¿la compañía que perdón?').,7,Prospect confusion or lack of awareness
call_004,"The prospect indicated they had just woken up and were not in a good position to talk, showing low availability and potential disinterest at that moment.",3,Prospect unavailable or uncertain about timing
call_004,"The prospect hesitated and took time to think about when would be a better time for a follow-up call, showing uncertainty about scheduling.",3,Prospect unavailable or uncertain about timing
call_005,"The prospect showed limited English comprehension and communication difficulty, responding with short or unclear phrases such as 'Allow to talk.'",1,Low prospect engagement or interest
call_005,"The prospect indicated unfamiliarity with Google Meet, saying they had never used it before.",1,Low prospect engagement or interest
call_005,"At the end, the prospect did not respond when the rep asked about having a computer or tablet, suggesting possible disengagement or technical difficulty.",1,Low prospect engagement or interest
call_005,"The prospect expressed confusion about what the rep meant by 'get you scheduled in,' indicating uncertainty about the purpose of the call.",5,Prospect confusion about caller identity and purpose
call_006,The prospect's phone system indicated they could not take the call and directed the rep to leave a voicemail.,3,Prospect unavailable or uncertain about timing
call_007,The prospect mentioned they had not yet spoken with the owner and needed to confirm with them before proceeding with the scheduled meeting.,3,Prospect unavailable or uncertain about timing
call_007,The prospect indicated they would need to save the rep’s number before further communication.,3,Prospect unavailable or uncertain about timing
call_007,The prospect expressed reluctance to use their cell phone for business purposes when the rep asked for a contact number.,5,Prospect confusion about caller identity and purpose
call_008,"The prospect was unavailable for the scheduled meeting, and the rep reached someone else at the business who was unsure of the prospect’s location or availability.",3,Prospect unavailable or uncertain about timing
call_008,The person answering the call expressed uncertainty about the rep’s company and asked if they were calling from Owner.com.,7,Prospect confusion or lack of awareness
call_009,"The prospect expressed confusion about who the rep was and whether the call was a sales pitch, asking if the rep was trying to sell something.",5,Prospect confusion about caller identity and purpose
call_009,The prospect offered to text the rep’s contact information to the owner and said the owner would contact the rep directly.,5,Prospect confusion about caller identity and purpose
call_009,The prospect did not recognize the name Owner.com or the request and seemed uncertain who within the restaurant made it.,7,Prospect confusion or lack of awareness
call_009,"The prospect identified the actual owner, Fahad, and indicated there were multiple owners handling different responsibilities.",7,Prospect confusion or lack of awareness
call_010,"The prospect stated they were working long hours and could not meet for at least three weeks, suggesting a follow-up call in two weeks instead.",3,Prospect unavailable or uncertain about timing
call_010,The prospect clarified they had a partner and both decided to put the project on hold for one to two weeks due to lack of time.,6,Prospect not ready to change systems
call_010,"The prospect explained they had just opened another location, were extremely busy, and had not been able to respond, acknowledging they likely lost the promotion.",9,Speaking with non‑owner or unavailable decision‑maker
call_011,"After the rep mentioned promotions and discounts, the prospect responded politely but without re-engaging or showing renewed interest.",1,Low prospect engagement or interest
call_011,The prospect explained they were still dealing with a personal issue and were not ready to move forward or book a demo at the moment.,8,Scheduling or demo confirmation challenges
call_012,The prospect stated they were at the gym and requested that the rep email them instead of continuing the call.,3,Prospect unavailable or uncertain about timing
call_012,"The prospect explained they had just started using DoorDash and were still setting up their online presence, indicating they were early in their digital ordering journey.",4,Already satisfied or not ready for new online ordering solutions
call_013,The prospect showed hesitation or uncertainty about joining the video call immediately.,1,Low prospect engagement or interest
call_013,"The prospect seemed unaware or unprepared for the meeting time change from tomorrow to 2:45 today, creating confusion about availability.",3,Prospect unavailable or uncertain about timing
call_013,"The prospect indicated that they were not the owner but the general manager, raising uncertainty about whether they were the correct decision-maker for the demo.",9,Speaking with non‑owner or unavailable decision‑maker
call_014,The prospect on the line was not the intended contact (Eunice Thorek) and seemed unsure about the request for information.,5,Prospect confusion about caller identity and purpose
call_014,The person answering could not confirm why Eunice submitted the request or provide further details.,5,Prospect confusion about caller identity and purpose
call_014,The call ended without reaching the decision-maker or confirming a demo time.,8,Scheduling or demo confirmation challenges
call_015,"The prospect expressed hesitation about making changes to their current setup, implying they might not want to invest time or effort into switching systems.",6,Prospect not ready to change systems
call_015,The prospect indicated a preference to delay any decision and think about it for a couple of months.,6,Prospect not ready to change systems
call_016,The prospect explained that their kitchen is already at full capacity and cannot handle additional online orders due to limited space and workload.,0,Limited capacity or no interest in online ordering
call_016,The prospect reiterated that they had previously considered online ordering but decided against it because they can barely keep up with current demand and have a small kitchen.,0,Limited capacity or no interest in online ordering
call_017,The person who answered the call stated that the intended prospect was not present and seemed unsure who the rep was referring to.,5,Prospect confusion about caller identity and purpose
call_017,The person on the call expressed confusion about what company the rep represented and the purpose of the call.,5,Prospect confusion about caller identity and purpose
call_017,The person indicated they had no idea about the report and attempted to end the call.,5,Prospect confusion about caller identity and purpose
call_018,"The prospect expressed disinterest, saying they did not need the service and that they do not rely on DoorDash or similar platforms.",4,Already satisfied or not ready for new online ordering solutions
call_018,"The prospect directly asked what the rep was selling, signaling impatience and a desire to quickly qualify the call.",5,Prospect confusion about caller identity and purpose
call_018,The prospect stated they had already changed their POS system and believed they were already covered by what the rep was offering.,6,Prospect not ready to change systems
call_019,"The prospect clarified that they do not offer online ordering, only catering, and reiterated that their sister handles all technical aspects.",0,Limited capacity or no interest in online ordering
call_019,"The prospect immediately expressed disinterest, stating that their sister is an IT engineer who manages their website and online presence.",1,Low prospect engagement or interest
call_020,"The prospect expressed disinterest after hearing the rep’s brief explanation of the service, stating they were 'not super interested.'",1,Low prospect engagement or interest
call_020,"The prospect clarified that their website and online presence are controlled by the corporate franchise, limiting their ability to make independent marketing or website decisions.",9,Speaking with non‑owner or unavailable decision‑maker
call_021,The prospect indicates that the intended contact may not be available the next day either.,3,Prospect unavailable or uncertain about timing
call_021,The prospect informs the rep that the intended contact (the person who booked the demo) is not available.,8,Scheduling or demo confirmation challenges
call_021,"The prospect asks what the meeting was for, showing uncertainty about the purpose of the scheduled demo.",8,Scheduling or demo confirmation challenges
call_022,"The prospect provided a website contact (callsoulco.com) instead of a direct person, indicating limited engagement and a potential barrier to scheduling a demo.",8,Scheduling or demo confirmation challenges
call_022,"The prospect clarified that they are not the owner of the restaurant, creating uncertainty about whether the rep was speaking with the decision-maker.",9,Speaking with non‑owner or unavailable decision‑maker
call_023,"The prospect did not engage or show interest early in the call, providing minimal or no responses when the rep attempted to confirm ownership and relevance.",1,Low prospect engagement or interest
call_023,The prospect appeared disinterested or unresponsive after the rep introduced the company and value proposition.,1,Low prospect engagement or interest
call_024,The prospect stated they were not the right person to discuss online ordering or commissions and provided another phone number to contact the office.,5,Prospect confusion about caller identity and purpose
call_024,"The prospect mentioned that the business already uses a system and is likely satisfied with it, implying no current need for the rep’s solution.",6,Prospect not ready to change systems
call_025,The prospect expressed confusion and possible disinterest when the rep asked if increasing online orders or business growth was a priority.,0,Limited capacity or no interest in online ordering
call_025,"The prospect gave short or unclear responses when asked about existing online ordering and capacity to take more orders, indicating hesitation or lack of engagement.",0,Limited capacity or no interest in online ordering
call_025,"At the end of the call, the prospect did not express interest or agreement to continue, signaling disengagement.",1,Low prospect engagement or interest
call_026,"The prospect informed the rep that the main contact, Dr. Cusick, had just left and would not be available to continue the conversation.",3,Prospect unavailable or uncertain about timing
call_027,The prospect declined to provide her husband’s contact information and reiterated that she could not help further.,1,Low prospect engagement or interest
call_027,"The prospect stated it was not a good time to talk and redirected the rep to contact her husband, who manages business matters.",3,Prospect unavailable or uncertain about timing
call_027,The prospect expressed confusion about who was calling and did not recognize the rep or the purpose of the call.,5,Prospect confusion about caller identity and purpose
call_028,The prospect stated they had already spoken with someone from the same company recently and were not interested.,1,Low prospect engagement or interest
call_028,The prospect revealed they are already using Lunchbox for online ordering and are satisfied with its performance.,4,Already satisfied or not ready for new online ordering solutions
call_028,The prospect mentioned poor call quality and difficulty hearing the rep early in the conversation.,5,Prospect confusion about caller identity and purpose
call_028,The prospect emphasized that everything is working well with their current system and there are no pressing issues.,6,Prospect not ready to change systems
call_029,The prospect indicated that it was not a good time to talk because they were at doctor's appointments and asked the rep to call back tomorrow.,3,Prospect unavailable or uncertain about timing
call_029,The prospect provided a different phone number and clarified that the rep should contact the restaurant directly rather than continuing the current conversation.,5,Prospect confusion about caller identity and purpose
call_030,"The prospect said they were busy and requested a call back the next day, introducing a scheduling constraint that paused the conversation.",3,Prospect unavailable or uncertain about timing
call_030,"The prospect expressed confusion and concern about being charged money and mentioned wanting a refund, indicating they thought the call was about billing rather than a demo.",5,Prospect confusion about caller identity and purpose
call_030,"The prospect stated that their partner previously used Owner.com but they no longer want to change their current website provider, showing resistance to switching platforms.",7,Prospect confusion or lack of awareness
call_031,"The prospect expressed confusion, saying they did not recall filling out any form and suggested their spouse might have done it, then asked the rep to call back tomorrow.",5,Prospect confusion about caller identity and purpose
call_031,The prospect stated they were not interested and attempted to end the call immediately after learning the call was about Owner.com.,7,Prospect confusion or lack of awareness
call_032,The prospect said they were busy and could not talk much because they were doing lunch service.,3,Prospect unavailable or uncertain about timing
call_032,The prospect ended the call citing they were very busy and needed to get back to work.,3,Prospect unavailable or uncertain about timing
call_032,"The prospect challenged the rep’s claim that their website had low traffic and poor visibility, saying the data was wrong.",5,Prospect confusion about caller identity and purpose
call_032,"The prospect insisted they already use Owner.com and get about a thousand visits a month, implying they are satisfied with their current provider.",7,Prospect confusion or lack of awareness
call_033,"The prospect indicated they did not handle online ordering and that their partner was responsible, suggesting the rep was speaking with the wrong decision-maker.",0,Limited capacity or no interest in online ordering
call_033,"The prospect asked the rep to call back later, signaling a polite deflection and potential end to the current conversation.",3,Prospect unavailable or uncertain about timing
call_034,The prospect expressed confusion about the purpose of the call and questioned what kind of meeting the rep was referring to.,5,Prospect confusion about caller identity and purpose
call_034,"The prospect misunderstood the rep’s intent, thinking the rep wanted catering services.",5,Prospect confusion about caller identity and purpose
call_034,The prospect revealed they were not the business owner and that the owner was not present.,9,Speaking with non‑owner or unavailable decision‑maker
call_035,"The prospect repeatedly said they were okay and thanked the rep, signaling disinterest and a desire to end the conversation.",3,Prospect unavailable or uncertain about timing
call_035,"The prospect indicated they had just started using Uber Eats recently, implying they were in an early stage of testing that channel and not ready to switch or add new systems.",4,Already satisfied or not ready for new online ordering solutions
call_035,"The prospect expressed satisfaction with their current operations and stated they were good for now, suggesting no immediate need for change.",6,Prospect not ready to change systems
call_036,The prospect said they were busy hosting a large group event and could not talk at the moment.,3,Prospect unavailable or uncertain about timing
call_036,The prospect requested that the rep send an email with information and suggested possibly setting up a chat or meeting later.,3,Prospect unavailable or uncertain about timing
call_036,The prospect clarified that the weekend would not work and proposed next week as a better time for follow-up.,3,Prospect unavailable or uncertain about timing
call_037,"The prospect indicated that Slice did not make any big promises or offer much help, implying limited engagement or dissatisfaction but not outright frustration.",1,Low prospect engagement or interest
call_037,"The prospect did not express any pain points or interest in changing from Slice, suggesting satisfaction or lack of motivation to explore alternatives.",1,Low prospect engagement or interest
call_037,The prospect showed no familiarity with Owner.com or its online presence and mentioned staying away from social media.,7,Prospect confusion or lack of awareness
call_038,The prospect indicated they do not currently have online ordering and implied it was intentional or not a fit for their business model.,0,Limited capacity or no interest in online ordering
call_038,"The prospect directly declined interest in seeing research or implementing online ordering, saying 'No, no.'",0,Limited capacity or no interest in online ordering
call_038,The prospect mentioned staffing issues as a reason for not pursuing online ordering at this time.,0,Limited capacity or no interest in online ordering
call_039,"The prospect seems to have an issue that the rep cannot directly resolve, creating a potential stall in the conversation.",3,Prospect unavailable or uncertain about timing
call_039,"The prospect appears confused about their website setup, as the rep notices that the restaurant’s Google Maps and website are not showing the correct Owner site.",7,Prospect confusion or lack of awareness
call_040,The prospect states they do not want to grow online ordering and prefer to keep their traditional model that has worked for 40 years.,0,Limited capacity or no interest in online ordering
call_040,"The prospect reveals they only take phone orders and do not use online ordering or delivery, indicating a potential lack of interest in digital solutions.",4,Already satisfied or not ready for new online ordering solutions
call_040,"The prospect emphasizes satisfaction with their current operations and expresses a conservative approach, signaling strong resistance to change.",6,Prospect not ready to change systems
call_040,The prospect firmly reiterates they are not interested in changing their setup and prefer to continue their current approach.,6,Prospect not ready to change systems
call_041,"After expressing frustration, the prospect stated they would look up the company themselves and call back if interested, signaling a desire to end the call.",3,Prospect unavailable or uncertain about timing
call_041,"The prospect expressed confusion and suspicion early in the call, asking 'What do you want from me?' and stating they didn't know who the rep was.",5,Prospect confusion about caller identity and purpose
call_041,"The prospect accused the rep of blindsiding them and taking an inappropriate approach by referencing another Indian restaurant, perceiving it as manipulative.",9,Speaking with non‑owner or unavailable decision‑maker
call_042,The prospect indicates that they have not received any help or follow-up from their assigned support contact since launching their website.,1,Low prospect engagement or interest
call_042,"The prospect’s business performance with the platform has not ramped up as expected, suggesting dissatisfaction or unmet expectations.",1,Low prospect engagement or interest
call_043,The prospect stated that someone from the same company had already called and that they were not interested right now.,3,Prospect unavailable or uncertain about timing
call_043,The prospect explained that the reason for not being interested was a lack of budget due to a tough winter and mentioned possibly revisiting at the end of summer.,6,Prospect not ready to change systems
call_044,The prospect reveals they already work with another company and states they are not interested in switching or learning more.,1,Low prospect engagement or interest
call_044,"The prospect asks detailed questions about pricing, including whether there is a free month and what the monthly charge is.",2,Pricing questions and cost concerns
call_044,"The prospect shows confusion about the service model, comparing it to DoorDash and asking if the company handles delivery or just pickup.",4,Already satisfied or not ready for new online ordering solutions
call_044,The prospect expresses confusion about why the rep is calling and denies remembering any prior request to meet with the company.,5,Prospect confusion about caller identity and purpose
call_045,The prospect interrupted the rep to say they were busy and could not talk at the moment.,3,Prospect unavailable or uncertain about timing
call_045,The prospect specified they were available later in the afternoon after two.,3,Prospect unavailable or uncertain about timing
call_046,"The prospect initially stated that the rep had the wrong number and questioned why they were being contacted about Ru Cafe, expressing confusion and suspicion about how their number was obtained.",5,Prospect confusion about caller identity and purpose
call_046,"The prospect expressed concern about how the rep obtained their number, mentioning that it might be linked to a different restaurant and that their manager would not have shared it.",9,Speaking with non‑owner or unavailable decision‑maker
call_046,"The prospect revealed they do own a restaurant but are in the middle of a personal move, requesting to be called next Tuesday to discuss further.",9,Speaking with non‑owner or unavailable decision‑maker
call_047,"At the end, the prospect deferred final commitment, asking the rep to check with their team and follow up later.",3,Prospect unavailable or uncertain about timing
call_047,"The prospect explained that their business operates as a traveling food truck, not a fixed-location restaurant, which limits their visibility on Google and complicates online presence.",4,Already satisfied or not ready for new online ordering solutions
call_047,The prospect revealed they do not have a Google Business Profile because they move locations frequently and lack a fixed address.,4,Already satisfied or not ready for new online ordering solutions
call_047,The prospect asked what steps would be needed to move forward if they pursued Owner’s help.,6,Prospect not ready to change systems
call_047,"After hearing that Owner might not be a fit, the prospect mentioned plans to open more consistently in one town and expressed interest in improving their local presence.",9,Speaking with non‑owner or unavailable decision‑maker
