restaurant_id,name,website_url,description_50_words
rest_001,Thai Papaya,thaipapayava.com,"Thai Papaya offers fresh, flavorful Thai cuisine in a welcoming setting. Visit thaipapayava.com to explore the menu and enjoy authentic tastes made with care."
rest_002,Pablo's Mexican Restaurant,pablosmexican.com,Pablo's Mexican Restaurant offers flavorful Mexican dishes in a welcoming setting. Visit pablosmexican.com to explore the menu and enjoy a satisfying dining experience.
rest_003,Tacos Cinco de Mayo,evasxcincodemayo.com,"Tacos Cinco de Mayo offers fresh, flavorful tacos and a friendly dining experience. Visit evasxcincodemayo.com to explore their menu and enjoy a taste of authentic Mexican-inspired favorites."
rest_004,Nonna Bella's Pizzeria,nonnabellapizza.com,"Nonna Bella's Pizzeria serves delicious, freshly made pizzas in a welcoming atmosphere. Visit nonnabellapizza.com to explore their menu and enjoy a satisfying meal."
rest_005,Jolene's Thai Cuisine,jolenethaicuisine.com,Jolene's Thai Cuisine offers flavorful Thai dishes in a welcoming setting. Visit jolenethaicuisine.com to explore the menu and enjoy authentic tastes made with care.
rest_006,El Fresco Mexican Grill,elfresco.com,"El Fresco Mexican Grill offers fresh, flavorful Mexican dishes in a welcoming setting. Visit elfresco.com to explore the menu and enjoy a satisfying dining experience."
rest_008,Washington Burrito,washingtonburrito.com,"Washington Burrito serves fresh, flavorful burritos and classic Mexican-inspired dishes. Visit washingtonburrito.com to explore the menu and enjoy a satisfying meal made with care."
rest_009,Oh Mmm Gyros,ohmmmgyroskaty.com,"Oh Mmm Gyros serves fresh, flavorful gyros and Mediterranean-inspired dishes in a casual, welcoming setting. Visit ohmmmgyroskaty.com to explore the menu and enjoy a satisfying meal."
rest_012,The Northern Pines Restaurant,thenorthernpines.com,The Northern Pines Restaurant offers a welcoming dining experience with hearty meals and friendly service. Visit thenorthernpines.com to explore their menu and plan your next visit.
rest_013,Royal Spice,royalspicema.com,Royal Spice offers flavorful dishes in a welcoming setting. Visit royalspicema.com to explore the menu and enjoy a satisfying dining experience.
rest_014,Seahouse Fish & Chicken - Fried Chicken Takeaway,seahousejackson.com,"Seahouse Fish & Chicken - Fried Chicken Takeaway serves freshly prepared fish and crispy fried chicken for quick, satisfying meals. Order online or visit seahousejackson.com for easy takeaway options."
rest_016,No. 9 Grill,no9grill.com,No. 9 Grill offers a welcoming dining experience with a focus on quality food and friendly service. Visit no9grill.com to explore the menu and plan your next meal.
rest_017,La Catrachada Mexican & Latino Grill,lacatrachadalatinogrill.com,La Catrachada Mexican & Latino Grill offers flavorful Mexican and Latin-inspired dishes in a welcoming setting. Visit lacatrachadalatinogrill.com to explore their menu and enjoy a taste of Latin tradition.
rest_018,Nantuckets,nantucketsportjefferson.com,"Nantuckets offers a welcoming dining experience in Port Jefferson. Visit nantucketsportjefferson.com to explore menus, hours, and reservations for a relaxed meal in a comfortable setting."
rest_019,Pannie-George's Kitchen,panniegeorgeskitchen.com,"Pannie-George's Kitchen serves comforting, home-style Southern meals in a welcoming setting. Visit panniegeorgeskitchen.com to explore their menu and enjoy hearty, flavorful dishes made with care."
rest_020,Rocco's Pizza,roccospizza.com,"Rocco's Pizza serves fresh, flavorful pizzas made with quality ingredients. Visit roccospizza.com to explore the menu and enjoy a satisfying meal in a friendly atmosphere."
rest_021,New York Pizza,newyorkpizzainva.com,"New York Pizza serves fresh, flavorful pizzas and classic favorites. Visit newyorkpizzainva.com to explore the menu and enjoy a satisfying meal."
rest_022,Old Soul @ 40 Acres,oldsoulco.com,"Old Soul @ 40 Acres offers a welcoming spot for coffee, baked goods, and casual bites. Visit oldsoulco.com to learn more or plan your next visit."
rest_023,Pat's Pizza & Bistro Philadelphia Pike,patsbistro.com,"Pat's Pizza & Bistro Philadelphia Pike offers a welcoming spot for pizza, pasta, and casual dining. Visit patsbistro.com to explore the menu and enjoy a relaxed meal with family or friends."
rest_024,Carolina's Mexican Food,carolinasmexicanfood.com,"Carolina's Mexican Food offers authentic, flavorful Mexican dishes in a welcoming setting. Visit carolinasmexicanfood.com to explore their menu and enjoy a satisfying meal."
rest_025,DragonEats,dragoneats.com,DragonEats offers flavorful dishes in a welcoming setting. Visit dragoneats.com to explore the menu and enjoy a satisfying dining experience.
rest_026,El Cerro Tacos,elcerrotacos.com,"El Cerro Tacos serves fresh, flavorful tacos and classic Mexican favorites in a welcoming setting. Visit elcerrotacos.com to explore the menu and enjoy authentic taste made simple."
rest_027,Emoji Burger,emojiburgerny.com,"Emoji Burger serves fresh, flavorful burgers in a casual, welcoming setting. Visit emojiburgerny.com to explore their menu and enjoy a satisfying meal."
rest_028,Gansett Wraps,gansettwraps.com,"Gansett Wraps offers fresh, flavorful wraps and quick bites. Visit gansettwraps.com to explore their menu and enjoy a satisfying meal made for any time of day."
rest_029,El Bruno's,elbrunonm.com,El Bruno's offers a welcoming dining experience with flavorful dishes and friendly service. Visit elbrunonm.com to learn more or plan your next meal.
rest_030,Toscanas Pizzeria & Restaurant,toscanaspizzabridgewater.com,Toscanas Pizzeria & Restaurant offers delicious pizza and Italian favorites in a welcoming setting. Visit toscanaspizzabridgewater.com to explore the menu or place your order today.
rest_031,Che Figata Italian Bistro,chefigatabistro.org,"Che Figata Italian Bistro offers a warm, inviting atmosphere with classic Italian flavors and friendly service. Visit chefigatabistro.org to explore their menu and experience authentic Italian dining."
rest_032,Roman Pizzeria & Restaurant,romanpizzablairstown.com,Roman Pizzeria & Restaurant offers delicious pizza and classic Italian favorites in a welcoming setting. Visit romanpizzablairstown.com to explore the menu or place your order.
rest_033,No 1 Restaurant,no1williamsburg.com,"No 1 Restaurant offers a welcoming dining experience with quality food and friendly service. Visit no1williamsburg.com to explore menus, hours, and more."
rest_034,Lal Qilla,lalqilasns.com,Lal Qilla offers a welcoming dining experience with flavorful dishes and warm hospitality. Visit lalqilasns.com to explore their menu and enjoy a satisfying meal.
rest_035,Dos Chiles Grandes,doschiles.net,Dos Chiles Grandes offers flavorful dishes in a welcoming setting. Visit doschiles.net to explore their menu and enjoy a satisfying dining experience.
rest_036,Giovanni's Brooklyn Eats,giovannisbrooklyneats.com,Giovanni's Brooklyn Eats offers a welcoming neighborhood dining experience with classic flavors and friendly service. Visit giovannisbrooklyneats.com to learn more or plan your next meal.
rest_037,Main Street Pizza,ordermainstreetpizza.com,"Main Street Pizza serves fresh, flavorful pizzas made to order. Visit ordermainstreetpizza.com to explore the menu and place your order for pickup or delivery."
rest_038,Sabai Sabai,sabaisabaithai.com,Sabai Sabai offers authentic Thai flavors in a welcoming setting. Visit sabaisabaithai.com to explore their menu and enjoy a taste of Thailand.
rest_039,The Juice Somm,juicesomm.com,The Juice Somm offers a refreshing selection of expertly crafted juices and blends. Visit juicesomm.com to explore flavors made for every taste and occasion.
rest_040,La Casa Lopez,lacasalopezrestaurant.com,La Casa Lopez offers a welcoming dining experience with flavorful dishes and friendly service. Visit lacasalopezrestaurant.com to explore their menu and plan your next meal.
rest_041,Root 2 Rise NY,root2riseny.com,"Root 2 Rise NY offers fresh, wholesome dining with a focus on nourishing flavors and simple ingredients. Visit root2riseny.com to explore their menu and experience a balanced approach to good food."
